Transfer regime, Strain, Locus tag, delta_n, -log10[P]
1-day, WT, B4U62_RS13245, 4, 2.35274
1-day, WT, B4U62_RS19005, 8, 6.29454
1-day, WT, B4U62_RS11625, 10, 8.59783
1-day, WT, B4U62_RS19175, 16, 16.39566
1-day, WT, B4U62_RS08625, 4, 2.35274
1-day, WT, B4U62_RS00655, 5, 3.23537
1-day, WT, B4U62_RS21125, 17, 17.79821
1-day, WT, B4U62_RS04785, 4, 2.35274
1-day, WT, B4U62_RS07475, 14, 13.6708
1-day, WT, B4U62_RS03595, 5, 3.23537
1-day, WT, B4U62_RS15845, 23, 26.6902
1-day, WT, B4U62_RS07435, 6, 4.19313
1-day, WT, B4U62_RS12150, 4, 2.35274
1-day, WT, B4U62_RS15150, 7, 5.21557
1-day, WT, B4U62_RS18290, 8, 6.29454
1-day, WT, B4U62_RS22165, 5, 3.23537
1-day, WT, B4U62_RS02855, 12, 11.06523
1-day, WT, B4U62_RS07070, 7, 5.21557
1-day, WT, B4U62_RS12325, 8, 6.29454
1-day, WT, B4U62_RS02595, 17, 17.79821
1-day, WT, B4U62_RS18490, 13, 12.35205
1-day, WT, B4U62_RS12375, 5, 3.23537
1-day, WT, B4U62_RS05480, 7, 5.21557
1-day, WT, B4U62_RS11925, 4, 2.35274
1-day, WT, B4U62_RS22175, 10, 8.59783
1-day, WT, B4U62_RS18365, 4, 2.35274
1-day, WT, B4U62_RS08890, 4, 2.35274
1-day, WT, B4U62_RS05565, 5, 3.23537
1-day, WT, B4U62_RS09350, 4, 2.35274
1-day, WT, B4U62_RS08185, 4, 2.35274
1-day, WT, B4U62_RS06155, 5, 3.23537
1-day, WT, B4U62_RS04530, 8, 6.29454
1-day, WT, B4U62_RS07750, 4, 2.35274
1-day, WT, B4U62_RS13260, 5, 3.23537
1-day, WT, B4U62_RS08005, 6, 4.19313
1-day, WT, B4U62_RS22125, 18, 19.22546
1-day, WT, B4U62_RS07120, 7, 5.21557
1-day, WT, B4U62_RS21195, 5, 3.23537
1-day, WT, B4U62_RS08145, 11, 9.81284
1-day, WT, B4U62_RS08405, 6, 4.19313
1-day, WT, B4U62_RS08410, 4, 2.35274
1-day, WT, B4U62_RS07495, 5, 3.23537
1-day, WT, B4U62_RS20845, 7, 5.21557
1-day, WT, B4U62_RS15225, 4, 2.35274
1-day, WT, B4U62_RS08475, 4, 2.35274
1-day, WT, B4U62_RS05580, 8, 6.29454
1-day, WT, B4U62_RS14270, 7, 5.21557
1-day, WT, B4U62_RS21610, 24, 28.24195
1-day, WT, B4U62_RS10135, 14, 13.6708
1-day, WT, B4U62_RS06665, 9, 7.42367
1-day, WT, B4U62_RS09995, 8, 6.29454
1-day, WT, B4U62_RS06210, 4, 2.35274
1-day, WT, B4U62_RS06700, 6, 4.19313
1-day, WT, B4U62_RS09525, 26, 31.3978
1-day, WT, B4U62_RS16850, 4, 2.35274
1-day, WT, B4U62_RS17855, 19, 20.67608
1-day, WT, B4U62_RS16880, 5, 3.23537
1-day, WT, B4U62_RS18185, 7, 5.21557
1-day, WT, B4U62_RS02155, 10, 8.59783
1-day, WT, B4U62_RS07030, 12, 11.06523
1-day, WT, B4U62_RS04635, 4, 2.35274
1-day, WT, B4U62_RS15020, 5, 3.23537
1-day, WT, B4U62_RS08700, 5, 3.23537
1-day, WT, B4U62_RS11255, 12, 11.06523
1-day, WT, B4U62_RS16270, 12, 11.06523
1-day, WT, B4U62_RS00335, 4, 2.35274
1-day, WT, B4U62_RS09370, 5, 3.23537
1-day, WT, B4U62_RS02095, 4, 2.35274
1-day, WT, B4U62_RS20015, 5, 3.23537
1-day, WT, B4U62_RS19780, 11, 9.81284
1-day, WT, B4U62_RS16015, 12, 11.06523
1-day, WT, B4U62_RS10785, 4, 2.35274
1-day, WT, B4U62_RS18080, 6, 4.19313
1-day, WT, B4U62_RS10485, 12, 11.06523
1-day, WT, B4U62_RS17405, 5, 3.23537
1-day, WT, B4U62_RS02125, 5, 3.23537
1-day, WT, B4U62_RS08135, 6, 4.19313
1-day, Delta_spo0A, B4U62_RS19405, 4, 2.35274
1-day, Delta_spo0A, B4U62_RS17655, 4, 2.35274
10-day, WT, B4U62_RS20345, 6, 5.2374
10-day, WT, B4U62_RS00505, 5, 4.06411
10-day, WT, B4U62_RS02010, 4, 2.9654
10-day, WT, B4U62_RS01080, 13, 14.86571
10-day, WT, B4U62_RS13565, 5, 4.06411
10-day, WT, B4U62_RS12100, 4, 2.9654
10-day, WT, B4U62_RS18120, 5, 4.06411
10-day, WT, B4U62_RS13095, 4, 2.9654
10-day, WT, B4U62_RS16145, 4, 2.9654
10-day, WT, B4U62_RS01705, 4, 2.9654
10-day, WT, B4U62_RS12030, 5, 4.06411
10-day, WT, B4U62_RS01355, 6, 5.2374
10-day, Delta_spo0A, B4U62_RS01935, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS06445, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS11740, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS10365, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS06860, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS09360, 4, 2.9654
10-day, Delta_spo0A, B4U62_RS12420, 6, 5.2374
10-day, Delta_spo0A, B4U62_RS09345, 6, 5.2374
100-day, WT, B4U62_RS13670, 11, 12.31458
100-day, WT, B4U62_RS10040, 6, 5.5123
100-day, WT, B4U62_RS20725, 5, 4.31882
100-day, WT, B4U62_RS01280, 5, 4.31882
100-day, WT, B4U62_RS03605, 4, 3.20007
100-day, WT, B4U62_RS16450, 5, 4.31882
100-day, WT, B4U62_RS02035, 7, 6.77062
100-day, WT, B4U62_RS02540, 4, 3.20007
100-day, WT, B4U62_RS17295, 6, 5.5123
100-day, WT, B4U62_RS00860, 10, 10.8625
100-day, WT, B4U62_RS13020, 4, 3.20007
100-day, WT, B4U62_RS15025, 4, 3.20007
