Transfer regime comparison, Transfer regime, Strain, Locus tag, delta_n, -log10[P]
1-day vs. 10-day, 1-day, WT, B4U62_RS08625, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS18365, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS09350, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS08440, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS18130, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS15020, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS15225, 4, 2.39519
1-day vs. 10-day, 1-day, WT, B4U62_RS20800, 4, 2.39519
1-day vs. 10-day, 10-day, WT, B4U62_RS00505, 5, 3.30076
1-day vs. 10-day, 10-day, WT, B4U62_RS16145, 4, 2.39519
1-day vs. 10-day, 10-day, WT, B4U62_RS05070, 5, 3.30076
1-day vs. 10-day, 10-day, WT, B4U62_RS16075, 4, 2.39519
1-day vs. 100-day, 1-day, WT, B4U62_RS01265, 4, 2.39944
1-day vs. 100-day, 1-day, WT, B4U62_RS12150, 4, 2.39944
1-day vs. 100-day, 1-day, WT, B4U62_RS16990, 6, 4.27064
1-day vs. 100-day, 1-day, WT, B4U62_RS16880, 4, 2.39944
1-day vs. 100-day, 100-day, WT, B4U62_RS03605, 4, 2.39944
1-day vs. 100-day, 100-day, WT, B4U62_RS13020, 4, 2.39944
1-day vs. 100-day, 100-day, WT, B4U62_RS16450, 4, 2.39944
10-day vs. 100-day, 10-day, WT, B4U62_RS12030, 5, 4.02481
10-day vs. 100-day, 10-day, WT, B4U62_RS05305, 4, 2.93232
10-day vs. 100-day, 100-day, WT, B4U62_RS21090, 4, 2.93232
10-day vs. 100-day, 100-day, WT, B4U62_RS20725, 5, 4.02481
1-day vs. 100-day, 1-day, Delta_spo0A, B4U62_RS19405, 5, 6.06489
1-day vs. 100-day, 100-day, Delta_spo0A, B4U62_RS05280, 4, 4.53197
10-day vs. 100-day, 10-day, Delta_spo0A, B4U62_RS07650, 4, 3.30167
10-day vs. 100-day, 10-day, Delta_spo0A, B4U62_RS09965, 4, 3.30167
